"symbol","log2FC","pvalue","padj"
"ADORA2A",0.170467275243979,0.00211123936901939,0.0600131663802795
"ADORA2B",-0.404113086084438,0.227988878763061,0.521754106203642
"ADORA3",-0.039493357933917,0.345993000664573,0.632969171284309
"ADPGK",0.0988544179129214,0.0453739892293995,0.236787891161157
"ADPRH",0.170170680057913,0.161649392007851,0.450857155221011
"ADPRHL1",-0.140126704653692,0.336011421527616,0.632969171284309
"ADPRHL2",0.0242220931687807,0.812451849410288,0.915103120519273
"ADRA1A",0.00170618548796492,0.961525439145702,0.984465594511787
"ADRA1B",2.72688832106622,0.00068066311822195,0.0375328896124452
"ADRA1D",-0.116700265144539,0.631615467186843,0.809577561621759
"ADRA2A",-0.62478057761744,0.104794984576779,0.361353039436678
"ADRA2B",0.00993153559896743,0.507463371949525,0.722917693187733
"ADRA2C",0.0924657642766778,0.356325512952737,0.632969171284309
"ADRB2",-0.0570424830089039,0.627167966508943,0.807311127510518
"ADRBK1",0.14686985181923,0.15292476485476,0.438274573099456
"ADRBK2",-0.104808155719972,0.307887236170359,0.61273356613158
"ADRM1",0.152728118659419,0.00758496358534248,0.102793711518512
"ADSL",0.0973944633875607,0.0454745316469386,0.236843876843073
"ADSS",-0.17017609091712,0.106904453732963,0.365203017526283
